cohort_year,days_since_first_purchase,purchase_year,num_customers,total_revenue,revenue_per_customer
2015,0,2015,2825,8088062.26,2863.03
2015,2,2015,1,4642.73,4642.73
2015,3,2015,1,6644.12,6644.12
2015,7,2015,1,3649.30,3649.30
2015,8,2015,2,13128.44,6564.22
2015,15,2015,1,3649.82,3649.82
2015,17,2015,1,30357.69,30357.69
2015,23,2015,1,4749.31,4749.31
2015,29,2015,1,4006.32,4006.32
2015,33,2015,1,689.83,689.83
2015,36,2015,2,3903.62,1951.81
2015,40,2015,1,2420.89,2420.89
2015,44,2015,1,3617.87,3617.87
2015,46,2015,1,2323.58,2323.58
2015,53,2015,1,1131.30,1131.30
2015,55,2015,1,23904.92,23904.92
2015,59,2015,1,1758.47,1758.47
2015,60,2015,1,25990.25,25990.25
2015,70,2015,1,10696.90,10696.90
2015,72,2015,1,5048.69,5048.69
2015,79,2015,1,130.32,130.32
2015,83,2015,2,22352.55,11176.28
2015,88,2015,1,3513.92,3513.92
2015,91,2015,1,2967.85,2967.85
2015,94,2015,1,25314.90,25314.90
2015,110,2015,1,8634.84,8634.84
2015,114,2015,1,7422.95,7422.95
2015,122,2015,1,9969.05,9969.05
2015,126,2015,1,4002.09,4002.09
2015,136,2015,1,4100.10,4100.10
2015,137,2015,1,6847.18,6847.18
2015,139,2015,1,12203.17,12203.17
2015,152,2015,1,5511.32,5511.32
2015,166,2015,1,9881.25,9881.25
2015,168,2015,1,834.02,834.02
2015,176,2015,1,1463.17,1463.17
2015,184,2015,1,5048.69,5048.69
2015,195,2015,1,337.06,337.06
2015,199,2015,1,7406.72,7406.72
2015,204,2015,1,6937.06,6937.06
2015,232,2015,1,6386.23,6386.23
2015,235,2015,1,4426.85,4426.85
2015,239,2015,1,2223.76,2223.76
2015,247,2015,1,6716.62,6716.62
2015,285,2015,1,8857.57,8857.57
2015,288,2015,1,1142.61,1142.61
2015,331,2015,1,1863.97,1863.97
2015,18,2016,1,148.73,148.73
2015,60,2016,1,95.99,95.99
2015,70,2016,1,15353.54,15353.54
2015,73,2016,1,427.16,427.16
2015,77,2016,1,10599.55,10599.55
2015,82,2016,1,1607.18,1607.18
2015,85,2016,1,7042.39,7042.39
2015,90,2016,1,252.89,252.89
2015,91,2016,1,7042.39,7042.39
2015,94,2016,1,6635.82,6635.82
2015,97,2016,1,55.90,55.90
2015,101,2016,1,13222.38,13222.38
2015,112,2016,2,1516.75,758.38
2015,140,2016,1,14382.89,14382.89
2015,152,2016,1,1018.00,1018.00
2015,159,2016,1,9667.49,9667.49
2015,165,2016,1,447.95,447.95
2015,172,2016,1,788.95,788.95
2015,186,2016,1,1808.16,1808.16
2015,190,2016,2,6427.42,3213.71
2015,192,2016,1,1663.20,1663.20
2015,194,2016,1,2026.41,2026.41
2015,200,2016,1,14382.89,14382.89
2015,206,2016,1,2174.62,2174.62
2015,214,2016,1,3876.43,3876.43
2015,219,2016,2,3204.71,1602.35
2015,220,2016,1,27.65,27.65
2015,221,2016,1,720.00,720.00
2015,230,2016,3,21500.34,7166.78
2015,231,2016,1,100.21,100.21
2015,235,2016,1,113.17,113.17
2015,238,2016,1,2930.25,2930.25
2015,241,2016,1,10724.09,10724.09
2015,251,2016,1,1607.18,1607.18
2015,253,2016,2,2942.51,1471.25
2015,255,2016,1,8115.15,8115.15
2015,260,2016,1,351.29,351.29
2015,270,2016,1,56.99,56.99
2015,271,2016,1,933.00,933.00
2015,275,2016,1,2585.68,2585.68
2015,279,2016,2,4948.68,2474.34
2015,280,2016,1,1011.09,1011.09
2015,283,2016,1,1904.98,1904.98
2015,290,2016,1,2440.59,2440.59
2015,294,2016,1,2827.58,2827.58
2015,296,2016,1,247.39,247.39
2015,298,2016,1,1284.82,1284.82
2015,305,2016,1,1357.31,1357.31
2015,308,2016,1,7627.42,7627.42
2015,318,2016,1,4167.43,4167.43
2015,319,2016,2,9437.36,4718.68
2015,320,2016,1,3654.09,3654.09
2015,321,2016,1,1076.05,1076.05
2015,322,2016,1,3712.50,3712.50
2015,327,2016,1,7419.91,7419.91
2015,329,2016,1,191.99,191.99
2015,334,2016,1,5756.84,5756.84
2015,335,2016,1,1227.12,1227.12
2015,338,2016,1,606.15,606.15
2015,345,2016,1,2477.76,2477.76
2015,346,2016,1,100.17,100.17
2015,348,2016,1,625.68,625.68
2015,349,2016,1,940.36,940.36
2015,356,2016,1,3746.00,3746.00
2015,358,2016,2,7986.05,3993.03
2015,359,2016,1,1356.62,1356.62
2015,360,2016,1,120.49,120.49
2015,368,2016,1,19758.34,19758.34
2015,369,2016,1,3205.48,3205.48
2015,370,2016,1,1567.10,1567.10
2015,371,2016,2,2002.41,1001.21
2015,377,2016,1,4252.99,4252.99
2015,381,2016,1,1508.57,1508.57
2015,382,2016,2,13066.77,6533.38
2015,397,2016,1,37132.49,37132.49
2015,401,2016,2,4476.67,2238.34
2015,404,2016,1,2255.91,2255.91
2015,414,2016,1,2011.68,2011.68
2015,423,2016,1,2621.98,2621.98
2015,425,2016,1,1734.30,1734.30
2015,429,2016,1,40.94,40.94
2015,445,2016,1,119.56,119.56
2015,452,2016,1,100.17,100.17
2015,454,2016,1,211.53,211.53
2015,457,2016,1,414.73,414.73
2015,464,2016,1,1297.38,1297.38
2015,465,2016,1,6.68,6.68
2015,466,2016,1,29.59,29.59
2015,472,2016,1,3162.55,3162.55
2015,475,2016,1,6234.30,6234.30
2015,483,2016,1,8762.53,8762.53
2015,486,2016,1,694.54,694.54
2015,488,2016,1,1099.75,1099.75
2015,495,2016,1,4375.53,4375.53
2015,496,2016,1,658.66,658.66
2015,500,2016,1,277.49,277.49
2015,503,2016,1,605.82,605.82
2015,509,2016,1,7.70,7.70
2015,513,2016,1,7592.23,7592.23
2015,517,2016,1,4534.29,4534.29
2015,518,2016,1,4296.42,4296.42
2015,521,2016,1,736.70,736.70
2015,543,2016,2,14897.40,7448.70
2015,552,2016,1,7589.80,7589.80
2015,561,2016,1,1394.16,1394.16
2015,574,2016,1,1744.96,1744.96
2015,577,2016,1,16487.61,16487.61
2015,588,2016,1,693.10,693.10
2015,605,2016,1,1019.58,1019.58
2015,607,2016,1,1861.56,1861.56
2015,610,2016,1,5916.37,5916.37
2015,614,2016,1,1639.80,1639.80
2015,629,2016,1,191.95,191.95
