customerkey,cohort_year,total_orders,net_revenue,first_purchase_date,last_purchase_date,days_since_last_purchase,churn_status,avg_order_value
552225,2016,3,68447.86,2016-10-05,2022-02-23,787,Churned,22815.95
1743963,2017,6,65431.98,2017-12-22,2023-08-28,236,Churned,10905.33
1151535,2018,1,63399.43,2018-09-04,2018-09-04,2055,Churned,63399.43
1232832,2016,5,62460.01,2016-10-21,2023-06-26,299,Churned,12492.00
427259,2020,2,57017.29,2020-10-28,2022-01-27,814,Churned,28508.65
1144860,2019,1,56183.50,2019-12-26,2019-12-26,1577,Churned,56183.50
929503,2015,2,56100.38,2015-11-24,2019-08-30,1695,Churned,28050.19
1375597,2019,7,56073.21,2019-07-02,2023-05-25,331,Churned,8010.46
1852945,2017,1,55994.75,2017-02-13,2017-02-13,2623,Churned,55994.75
471940,2015,7,53899.83,2015-09-24,2023-02-10,435,Churned,7699.98
1171096,2016,5,53696.06,2016-01-23,2021-12-24,848,Churned,10739.21
541870,2019,1,52584.49,2019-05-25,2019-05-25,1792,Churned,52584.49
1043882,2018,2,52017.03,2018-06-18,2020-02-16,1525,Churned,26008.52
1090812,2016,1,51825.01,2016-02-20,2016-02-20,2982,Churned,51825.01
1196325,2019,2,51811.37,2019-07-08,2020-03-03,1509,Churned,25905.69
1715500,2018,1,51550.86,2018-08-28,2018-08-28,2062,Churned,51550.86
1595230,2017,2,50086.24,2017-02-02,2023-03-18,399,Churned,25043.12
1443423,2016,4,49366.33,2016-02-02,2024-03-18,33,Active,12341.58
1392685,2018,2,48986.76,2018-07-27,2022-01-01,840,Churned,24493.38
680583,2019,3,48897.77,2019-09-17,2022-10-12,556,Churned,16299.26
1341971,2019,4,48692.11,2019-10-19,2023-11-23,149,At Risk,12173.03
413557,2018,2,48565.39,2018-02-13,2018-05-31,2151,Churned,24282.70
1199236,2015,4,48232.92,2015-12-22,2019-09-11,1683,Churned,12058.23
1752497,2019,7,48016.74,2019-04-15,2023-12-15,127,At Risk,6859.53
950640,2016,2,47868.80,2016-08-20,2019-05-06,1811,Churned,23934.40
1918280,2016,3,47677.52,2016-09-30,2021-05-22,1064,Churned,15892.51
1471984,2019,5,47667.92,2019-06-14,2022-08-13,616,Churned,9533.58
2091581,2015,2,47518.31,2015-06-27,2023-10-27,176,At Risk,23759.16
1311841,2017,4,47278.47,2017-10-27,2022-09-14,584,Churned,11819.62
1801215,2016,6,47062.76,2016-11-05,2023-07-21,274,Churned,7843.79
1056377,2015,2,46818.20,2015-10-28,2024-02-24,56,Active,23409.10
724961,2019,1,46481.79,2019-09-18,2019-09-18,1676,Churned,46481.79
1510546,2017,5,46394.02,2017-12-06,2022-06-30,660,Churned,9278.80
1185000,2018,3,46153.19,2018-02-24,2023-03-04,413,Churned,15384.40
548514,2021,4,46119.66,2021-09-13,2024-02-03,77,Active,11529.92
2019735,2021,2,45863.31,2021-09-01,2022-01-17,824,Churned,22931.66
1040877,2018,3,45759.07,2018-05-02,2023-04-21,365,Churned,15253.02
1038214,2018,2,45749.74,2018-09-24,2022-11-09,528,Churned,22874.87
910183,2022,2,45528.25,2022-02-15,2023-01-17,459,Churned,22764.13
471817,2016,4,45334.99,2016-08-31,2023-09-07,226,Churned,11333.75
1955379,2019,3,45249.65,2019-01-22,2022-03-15,767,Churned,15083.22
